item_id,page,from_store_number,from_store_name,to_store_number,to_store_name,sku,description,style_color,vendor,vendor_sku,category_code,category_name,from_mtd_turns_raw,from_mtd_turns,to_mtd_turns_raw,to_mtd_turns,size_grid,quantity_breakdown_json,total_quantity,report_total_quantity
44,7,2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,UH111WH,ZapDpPtAm7LonURBAN Z,PLAN/NEGR,PCAR,UH111_WHITE,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""075"", ""quantity"": 1}]",1,1
45,8,2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,9610734NBN,ZapTaAm4PuKING 1,PLAN/CAFE,CWIT,9610734_BROWN,513,Zap Casl PU Tacon H,"0,0",0.0,"3,4",3.4,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""100"", ""quantity"": 1}]",1,1
46,8,2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,MARKTOECAPBLK,ZapTaAm4CueWESTF 5,TCON/NEGR,IDLO,MARKTOECAP_BLACK,503,Zap Casl Cuero Tacon,"0,0",0.0,"0,0",0.0,36 | 37 | 38 | 39 | 40 | 40.5 | 41 | 42 | 42.5 | 43 | 44 | 44.5 | 45 | 41.5,"[{""row"": """", ""column"": ""41.5"", ""quantity"": 1}]",1,1
47,8,2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,SONICLACEUPBN,ZapTcMetCueCLAUD 2,TCON/NEGR,IDLO,SONICLACEUP_BROWN,503,Zap Casl Cuero Tacon,"0,0",0.0,"0,0",0.0,36 | 37 | 38 | 39 | 40 | 40.5 | 41 | 42 | 42.5 | 43 | 44 | 44.5 | 45 | 41.5,"[{""row"": """", ""column"": ""41.5"", ""quantity"": 1}]",1,1
48,8,2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,163001BRDKD,BotaPtMetHuleKARST W,PLAN/ROJO,MVAL,163001B_RED KIDS,553,Zap Deportivo Niño,"0,0",0.0,"0,0",0.0,20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37,"[{""row"": """", ""column"": ""28"", ""quantity"": 1}]",1,1
49,8,2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,UH052NV,ZapDpPtAm6LonURBAN Z,PLAN/AZUL,PCAR,UH052_NAVY,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""075"", ""quantity"": 2}]",2,2
50,9,2,UNLIMITED C. 2000,14,UNLIMITED METROMALL,GRANTLACEUPBN,ZapTcMetCueCLAUD 2,TCON/CAFE,IDLO,GRANTLACEUP_BROWN,503,Zap Casl Cuero Tacon,"0,0",0.0,"0,0",0.0,36 | 37 | 38 | 39 | 40 | 40.5 | 41 | 42 | 42.5 | 43 | 44 | 44.5 | 45 | 41.5,"[{""row"": """", ""column"": ""42.5"", ""quantity"": 1}]",1,1
51,9,2,UNLIMITED C. 2000,14,UNLIMITED METROMALL,RIOSNTSD,BotTaAm3CueCLAUD 2,TCON/SAND,IDLO,RIOSNT_SAND,522,Bota Casual Cuero H,"0,0",0.0,"0,0",0.0,36 | 37 | 38 | 39 | 40 | 40.5 | 41 | 42 | 42.5 | 43 | 44 | 44.5 | 45 | 41.5,"[{""row"": """", ""column"": ""41.5"", ""quantity"": 1}]",1,1
52,9,2,UNLIMITED C. 2000,14,UNLIMITED METROMALL,450502KHNV,ZapDpPtAm6PuLOREN 1,PLAN/KAKI,MKIN,450502_KHAKI NAVY,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 115 | 120 | 130 | 140 | 150 | 060 | 050 | 040,"[{""row"": """", ""column"": ""070"", ""quantity"": 1}]",1,1
53,10,2,UNLIMITED C. 2000,28,UNLIMITED LASCASCADA,JK687BK,ZapMetRedPenKADI 6,TACO/NEGR,FJIN,JK687_BLACK PU,511,Zap Vest PU Tacon H,"0,0",0.0,"0,0",0.0,34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | M | 32 | 33,"[{""row"": """", ""column"": ""43"", ""quantity"": 1}]",1,1
