from_store_number,from_store_name,to_store_number,to_store_name,sku,description,category_code,vendor,row_label,column_index,column_label,quantity,from_mtd_turns,to_mtd_turns
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKV03BLGY,CamtClUsfMcKING V,332,HKAI,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKV03SBLGY,CamtClUsfMcKING V,332,HKAI,,5,L,2,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKV03SBLGY,CamtClUsfMcKING V,332,HKAI,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKV04BLBG,CamtClCostMcKING V,332,HKAI,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKV04DGYNV,CamtClCostMcKING V,332,HKAI,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKW10GYBN,CamtClRagMcLOREN W,332,HKAI,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKZ03NVRDWH,CamtClDiseMcLOREN Z,332,HKAI,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKZ06BNBKLGY,CamtClCuadMcLOREN Z,332,HKAI,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTL08BLBN,CamtCvDiseMcLOREN T,332,HKAI,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTL08OLBKGY,CamtCvDiseMcLOREN T,332,HKAI,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTL09GNRD,CamtCvDiseMcLOREN T,332,HKAI,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTL09GNRD,CamtCvDiseMcLOREN T,332,HKAI,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CTAMSF03,CamtClUsfMcPAULM L,332,MAMS,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CTAMSF04,CamtClUsfMcPAULM L,332,MAMS,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CTAMSF08,CamtClUsfMcPAULM L,332,MAMS,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,SH111BL,CamtCoUsfMcPAULM 8,332,GSIH,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CAMT05YBBGBK,CamtClUsfMlKING Y,333,HKAI,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTKV01SBL,CamtClUsfMlKING V,333,HKAI,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTL05GNYL,CamtCvDiseMlLOREN T,333,HKAI,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,CMTL07BLBK,CamtCvDiseMlLOREN T,333,HKAI,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,KRAT01GYPR,CamtClRangMlLOREN T,333,HKAI,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,SH107OFWH,CamtCpBotMcPAULM 8,336,GSIH,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,MP24260SCFBK,FajaRevCueCLAUD E,341,GVIT,,4,32,1,0.0,8.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,7203N3,CorbPunSedaLOREN 6,361,GYIS,,1,TU,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,HS002KH,CorbUsfSedaLOREN 6,361,GYIS,,1,TU,1,1.4,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,375229Z23GN,ChumpCoZImLOREN 6,461,CHAP,,7,XXL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,375223Z190BK,ChaqCoUsfMlLOREN 6,462,CHAP,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,375223Z190BK,ChaqCoUsfMlLOREN 6,462,CHAP,,7,XXL,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,12170297BLPR,SuetClUsfMlJACK& T,466,PBET,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,22023645GN,SuetClUsfMlONLYS X,466,PBET,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,22023645GN,SuetClUsfMlONLYS X,466,PBET,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,MF23709BK,SuetClUsfMlSEVEN 6,466,NSAC,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BK22040RDBK,CamtCpFranMcSEVEN X,473,NSAC,,5,8,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BT22008OLWH,CamtClDiseMcSEVEN X,473,NSAC,,11,14,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BT22013NVBE,CamtClDiseMcSEVEN X,473,NSAC,,11,14,2,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BT22015TLBK,CamtClDiseMcSEVEN X,473,NSAC,,7,10,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BT22016BGWH,CamtClDiseMcSEVEN X,473,NSAC,,5,8,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BT22055BKGN,CamtClArmyMcSEVEN X,473,NSAC,,7,10,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BT22055BKGN,CamtClArmyMcSEVEN X,473,NSAC,,11,14,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BT22055WHBK,CamtClDiseMcSEVEN X,473,NSAC,,5,8,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BT22055WHBK,CamtClDiseMcSEVEN X,473,NSAC,,7,10,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BT22055WHBK,CamtClDiseMcSEVEN X,473,NSAC,,11,14,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BT24896BK,CamtClDisMcCR24 6,473,NSAC,,5,8,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BT24897BK,CamtClDisMcCR24 6,473,NSAC,,10,18,1,0.0,0.0
2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,BSFD1802SW008,PantTrajeCiReLOREN 2,304,GBOS,34,7,34,1,0.0,0.0
2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,BSFD1801N2204NV,PantCiUsfPdeLOREN 8,305,GBOS,32,7,34,1,0.0,0.0
2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,CM277TLBK,ShorDiseAlgdSEVEN Y,309,ISAK,,5,L,1,0.0,0.0
