skuCode,categoryNumber,season,suffix,dimensionCode,rawCode,canonicalCode,valueCode,labelEs,colorFamilyCode,applied
2032-2SLPV,566,6,SLPV,color,SL,SL,sl,Plateado,metallic,false
2032-2SLPV,566,6,SLPV,upper_material,PV,PV,pv,PVC/Vinilo,,false
2032-3BEPU,566,6,BEPU,color,BE,BE,be,Beige,neutral,false
2032-3BEPU,566,6,BEPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2032-3BKPU,566,6,BKPU,color,BK,BK,bk,Negro,neutral,false
2032-3BKPU,566,6,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
23040-L1CHME,568,3,CHME,upper_material,ME,ME,me,Metalico,,false
23040-L1SLME,568,3,SLME,color,SL,SL,sl,Plateado,metallic,false
23040-L1SLME,568,3,SLME,upper_material,ME,ME,me,Metalico,,false
23129-BEME,567,3,BEME,color,BE,BE,be,Beige,neutral,false
23129-BEME,567,3,BEME,upper_material,ME,ME,me,Metalico,,false
23129-GDME,567,3,GDME,color,GD,GD,gd,Dorado,metallic,false
23129-GDME,567,3,GDME,upper_material,ME,ME,me,Metalico,,false
23133L2BESD,580,B,BESD,color,BE,BE,be,Beige,neutral,false
23133L2BESD,580,B,BESD,upper_material,SD,SU,su,Suede,,false
23133L2CASD,580,B,CASD,color,CA,CA,ca,Camel,brown,false
23133L2CASD,580,B,CASD,upper_material,SD,SU,su,Suede,,false
2319801-ABEPU,568,2,BEPU,color,BE,BE,be,Beige,neutral,false
2319801-ABEPU,568,2,BEPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2319801-ABKPU,568,2,BKPU,color,BK,BK,bk,Negro,neutral,false
2319801-ABKPU,568,2,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2319801-BBEPU,568,2,BEPU,color,BE,BE,be,Beige,neutral,false
2319801-BBEPU,568,2,BEPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2319801-BKPU,568,2,BKPU,color,BK,BK,bk,Negro,neutral,false
2319801-BKPU,568,2,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2319801-GNPU,568,2,GNPU,color,GN,GN,gn,Verde,green,false
2319801-GNPU,568,2,GNPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2319801-MVPU,568,2,MVPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2319X805-BKPU,568,2,BKPU,color,BK,BK,bk,Negro,neutral,false
2319X805-BKPU,568,2,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2319X805-CHPU,568,2,CHPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
2319X805-GDPU,568,2,GDPU,color,GD,GD,gd,Dorado,metallic,false
2319X805-GDPU,568,2,GDPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
