sku_code,dimension_code,value_code,value_label_es,assigned_by,assigned_at
1683BEPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1683BEPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1683BKPU,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1683BKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1683BKPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1683BLPU,color,bl,Azul,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1683BLPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1683BLPU,color_family,blue,Azules,seed:derived:color_family,2026-05-07 05:44:06.334
1683KHPU,color,kh,Khaki/Kaki,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1683KHPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1683KHPU,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
1685BEPU,color,be,Beige,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1685BEPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1685BEPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1685BKPU,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1685BKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1685BKPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1685CAPU,color,ca,Camel,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1685CAPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1685CAPU,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
1685KHPU,color,kh,Khaki/Kaki,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1685KHPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1685KHPU,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
1686BKPU,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1686BKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1686BKPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1686KHPU,color,kh,Khaki/Kaki,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1686KHPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1686KHPU,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
1686PKPU,color,pk,Rosa,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1686PKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1686PKPU,color_family,pink,Rosas,seed:derived:color_family,2026-05-07 05:44:06.334
1688WHPT,color,wh,Blanco,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1688WHPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1688WHPT,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1761BEPU,color,be,Beige,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1761BEPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1761BEPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1761BKPU,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1761BKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1761BKPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1836-9-BKSD,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1836-9-BKSD,upper_material,su,Suede,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1836-9-BKSD,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1836-9-KHSD,color,kh,Khaki/Kaki,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1836-9-KHSD,upper_material,su,Suede,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1836-9-KHSD,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
1836-9-NVSD,color,nv,Azul Marino,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1836-9-NVSD,upper_material,su,Suede,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1836-9-NVSD,color_family,blue,Azules,seed:derived:color_family,2026-05-07 05:44:06.334
1836-9-RDSD,color,rd,Rojo,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1836-9-RDSD,upper_material,su,Suede,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1836-9-RDSD,color_family,red,Rojos,seed:derived:color_family,2026-05-07 05:44:06.334
1890-1A-BEPT,color,be,Beige,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1890-1A-BEPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1890-1A-BEPT,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1890-1A-BKNB,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1890-1A-BKNB,upper_material,nu,Nubuck,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1890-1A-BKNB,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1890-1A-BKPT,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1890-1A-BKPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1890-1A-BKPT,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1890-1A-BKPU,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1890-1A-BKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1890-1A-BKPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1890-1A-DRDPT,color,rd,Rojo,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1890-1A-DRDPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1890-1A-DRDPT,color_family,red,Rojos,seed:derived:color_family,2026-05-07 05:44:06.334
